n_paragraphs,n_sections,FRE,title_len,art_len,0,1,2,3,4,5,6,7,8,9,2017,2018,2019,2020,2021,2022,top5,top10
49,6,35.47,52,8569,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
9,1,45.76,41,1093,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,66.44,55,3543,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
18,1,71.04,73,4824,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
54,2,65.35,49,7443,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
21,4,58.72,138,6761,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
41,1,51.07,103,13937,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
53,9,61.26,39,10666,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
18,4,65.52,29,4275,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
14,1,64.71,75,2370,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
46,6,74.49,46,6653,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
85,3,58.11,41,17849,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
63,5,68.91,44,8368,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
43,1,51.18,34,12988,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
36,1,54.73,90,4746,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
19,7,59.23,45,3673,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
19,1,51.48,111,6641,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
49,8,36.42,85,17360,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,5,62.27,54,6228,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
38,1,47.83,47,6076,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
10,1,55.47,26,11175,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
19,1,50.36,98,6075,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
33,1,55.84,63,3739,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
10,1,46.0,58,12411,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
2,1,74.39,34,484,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
14,7,62.17,16,2395,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
48,4,63.39,61,12015,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
20,1,53.14,74,6643,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
9,1,60.55,40,2899,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
29,2,67.04,32,3955,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
16,1,59.3,63,2910,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
14,1,64.61,44,3429,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
54,1,49.65,40,11534,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
8,1,58.48,35,1125,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
19,1,53.85,118,6773,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
34,1,46.47,37,9626,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
23,1,60.95,63,9508,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
9,1,56.05,32,1461,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0
20,1,27.22,51,5981,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
7,1,59.84,31,2711,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
33,3,47.93,61,10500,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0
10,1,55.37,48,9014,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0
202,13,64.3,59,17670,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.0
15,1,52.9,78,5549,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
